capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
35;262;213;93;29;27;6;24;19
35;224;220;103;20;20;2;15;9
32;475;232;110;28;15;12;25;22
32;233;126;100;25;14;3;12;12
48;1134;759;388;40;29;3;39;29
48;880;464;339;28;16;1;25;15
24;576;400;99;24;19;7;21;21
30;368;23;75;30;0;8;26;21
84;1307;794;709;82;51;10;60;41
78;1302;110;582;78;1;11;63;51
135;2926;1444;770;132;71;39;123;109
18;158;101;77;14;8;4;11;10
24;132;20;75;18;4;2;13;10
15;104;5;36;8;0;2;8;8
26;157;6;80;16;0;4;14;11
35;648;371;169;26;21;6;17;13
30;118;7;65;20;0;3;20;19
30;100;11;69;13;0;3;12;11
35;166;60;99;25;8;10;21;19
88;1736;963;377;92;56;15;82;48
30;344;64;60;20;4;1;5;4
27;141;28;68;11;3;2;6;4
15;282;86;37;11;6;0;3;2
23;1461;683;161;22;12;4;14;11
34;658;318;208;28;4;5;17;12
45;402;112;195;39;5;9;39;21
38;2635;1895;193;41;32;2;35;20
56;1331;1219;258;49;46;6;31;15
35;419;251;136;23;18;6;15;15
33;197;22;94;34;3;7;28;25
35;111;96;85;19;14;1;8;5
42;1372;998;301;39;26;4;39;20
30;138;56;73;10;5;0;7;2
35;1792;1235;159;35;28;9;29;22
35;1767;789;224;34;15;14;31;26
24;252;14;92;8;0;2;6;5
260;1955;540;898;257;80;15;222;173
18;136;65;22;0;0;0;0;0
30;188;13;66;26;1;3;26;15
12;106;5;20;12;1;2;11;6
24;366;215;53;9;6;1;3;3
24;469;85;103;19;0;2;8;8
12;332;183;16;13;7;0;8;3
12;165;70;16;13;4;2;8;3
48;421;100;168;34;4;0;33;28
36;193;87;117;24;10;3;23;20
77;1361;622;437;73;36;13;65;52
15;74;12;31;6;0;1;6;6
30;303;78;79;14;1;2;8;6
60;619;72;183;58;8;18;40;35
36;636;314;182;32;24;15;30;22
30;734;345;140;26;14;4;21;13
36;343;240;135;27;22;12;20;16
24;618;549;133;19;19;6;13;11
130;1457;295;678;129;24;22;116;46
56;477;105;235;55;9;10;39;30
36;264;204;135;34;27;5;22;21
14;332;37;34;11;1;3;7;5
14;431;113;62;13;5;0;8;5
16;184;74;35;12;4;1;9;5
35;153;39;104;19;2;0;14;11
36;273;149;96;19;7;3;12;10
36;301;136;81;18;4;3;16;14
27;248;177;118;14;12;3;11;4
35;307;239;111;32;29;9;23;21
35;770;367;102;33;15;11;29;28
12;172;32;51;8;1;1;5;3
18;505;88;92;16;4;4;11;6
10;80;6;37;9;1;1;8;8
10;271;40;66;14;0;1;6;4
35;267;163;117;19;12;4;15;15
24;268;127;88;23;11;5;19;13
78;1873;1339;490;77;54;14;71;30
110;2558;1188;576;119;54;21;109;66
35;1452;756;145;35;24;10;31;30
48;1318;655;272;44;19;14;40;37
15;215;12;82;11;0;4;10;9
15;157;17;60;8;0;3;5;5
24;401;253;110;17;13;6;14;14
24;289;90;58;18;5;6;15;14
24;206;110;102;18;7;7;13;13
76;573;53;298;39;4;10;31;22
74;947;88;423;68;4;8;47;40
40;253;59;108;24;5;9;16;11
60;853;78;394;42;1;9;33;24
27;611;297;139;30;20;5;19;10
15;117;4;56;11;0;1;10;10
125;1822;159;581;128;8;27;110;86
162;3180;1577;670;157;90;44;135;97
36;235;108;101;35;9;10;33;31
15;172;16;61;13;0;5;13;12
35;267;143;141;25;15;4;12;12
35;320;46;140;34;4;9;21;15
18;252;206;70;16;16;5;16;14
24;203;104;89;22;16;12;21;20
15;41;19;13;7;4;5;6;6
48;725;262;400;36;10;2;34;33
35;969;447;164;7;3;0;5;5
35;383;236;167;34;20;5;27;27
12;61;4;39;11;1;2;10;10
35;269;176;74;24;21;5;18;18
38;233;155;101;38;21;8;37;34
48;1797;494;493;51;8;11;51;16
168;2760;1322;1076;162;74;15;146;131
75;419;46;312;48;2;4;42;41
37;385;172;253;25;10;3;16;12
24;508;234;106;23;7;9;12;12
35;1462;787;249;33;16;9;25;22
70;1028;455;354;73;42;19;44;43
35;827;382;211;39;22;14;38;34
24;294;23;112;21;2;8;16;15
29;278;75;65;20;1;0;8;5
15;136;13;69;6;1;1;5;4
16;352;121;68;9;1;2;8;5
16;159;46;45;10;2;2;10;10
104;1069;100;549;68;2;8;52;41
78;527;119;335;53;9;3;35;26
24;139;113;91;11;10;1;5;5
24;189;113;95;17;8;2;9;9
35;324;152;160;34;12;6;27;26
24;313;161;107;23;13;10;18;17
36;324;81;157;20;5;1;11;11
30;2277;1296;137;28;21;4;18;13
45;260;61;139;32;8;4;26;24
52;291;16;140;12;0;1;9;9
56;633;305;361;23;9;4;16;10
15;398;70;50;8;1;3;6;5
24;159;106;66;13;8;10;12;8
24;269;148;100;17;6;5;13;12
24;89;57;36;14;12;3;11;11
23;140;122;74;16;16;3;10;7
24;203;119;80;21;12;5;13;13
24;183;137;90;4;4;0;0;0
27;207;54;73;27;2;4;22;11
18;88;53;44;8;5;1;5;5
18;81;8;32;12;0;3;11;10
35;373;51;117;32;3;10;29;29
24;94;45;43;12;5;3;11;10
24;671;390;134;19;11;4;13;13
96;1800;693;795;91;39;11;85;39
24;266;170;83;14;8;3;12;12
35;122;69;65;13;9;4;9;8
48;791;510;277;44;36;5;43;39
33;978;497;105;22;11;8;15;15
48;893;319;267;43;16;3;15;15
35;383;204;131;29;18;8;22;22
35;619;331;130;34;17;7;25;23
24;320;180;78;16;7;5;12;11
96;1807;642;583;90;33;7;88;74
144;1655;1211;659;146;114;22;139;89
15;154;22;55;13;0;5;11;10
35;817;296;376;33;6;10;20;11
45;829;412;146;46;16;15;35;29
24;204;143;93;17;11;4;15;7
13;956;367;36;13;6;1;7;5
32;802;372;140;31;12;13;20;19
72;1282;367;496;72;15;9;71;66
59;381;257;177;61;46;28;48;47
35;649;207;106;36;9;17;31;29
35;722;255;165;30;9;7;21;21
35;1015;559;139;38;24;6;21;18
90;1237;733;603;71;40;17;53;33
84;944;224;486;48;11;7;35;21
42;2692;1950;265;41;28;14;36;22
35;31;19;24;2;1;0;1;0
28;130;66;79;15;5;3;8;8
15;89;8;59;10;1;0;6;6
25;156;27;71;10;0;4;7;6
168;1458;708;683;151;80;37;97;88
50;441;241;141;41;28;3;27;24
48;201;76;88;23;5;4;19;17
30;118;15;55;21;3;4;9;9
36;150;98;71;13;8;5;8;8
24;172;79;59;12;3;0;2;2
24;171;88;75;15;6;2;8;8
72;440;136;208;54;12;6;52;34
30;580;428;238;29;18;1;11;9
84;795;330;298;93;27;16;75;65
80;638;152;270;62;12;13;50;36
33;1248;598;125;29;14;12;23;21
30;458;69;100;29;4;6;25;22
30;478;134;125;19;7;2;14;10
30;474;81;122;23;1;0;18;16
15;232;22;67;9;1;1;6;5
30;254;59;72;29;10;2;7;6
45;729;353;189;42;17;7;15;13
30;550;377;123;28;18;3;14;14
25;666;489;80;25;16;10;19;19
84;722;64;382;75;5;20;63;56
18;396;328;70;16;11;8;12;12
35;134;72;50;8;5;0;5;5
33;776;401;133;31;19;4;17;16
35;837;544;137;27;22;7;21;20
80;1189;632;375;69;40;17;64;47
18;310;273;98;15;14;6;11;10
30;480;226;152;23;9;5;21;17
22;45;28;30;5;2;1;5;5
45;231;132;110;24;12;1;18;14
35;274;132;121;31;16;5;18;15
24;77;28;45;7;1;2;4;4
62;803;355;212;54;27;7;36;15
48;880;575;406;46;29;5;39;31
33;464;61;80;31;0;9;29;26
24;267;103;77;12;4;3;10;10
28;383;36;122;24;2;9;19;18
15;59;8;30;8;1;0;7;6
30;213;28;55;27;3;10;21;21
35;498;242;102;34;22;10;23;23
35;307;167;121;29;15;10;23;23
32;156;8;76;27;1;8;24;24
35;639;308;139;13;6;2;11;11
35;940;468;129;21;10;7;18;18
35;433;223;98;21;14;6;17;15
70;1153;601;225;55;40;15;33;25
34;423;212;142;25;15;6;16;16
48;600;567;202;42;42;12;30;23
26;111;39;64;11;6;2;7;6
35;175;84;88;21;11;1;10;9
16;118;17;44;6;0;1;5;5
40;245;207;130;28;27;12;24;24
78;493;245;324;51;26;10;36;29
36;579;424;189;25;24;7;19;17
17;412;83;59;21;2;4;16;15
48;395;137;223;20;6;2;19;16
48;212;149;157;28;17;7;26;25
35;294;177;118;20;17;5;14;12
52;543;258;304;46;25;10;31;29
38;251;64;143;25;5;0;18;16
35;543;454;154;33;31;12;24;23
35;357;206;118;29;17;12;28;27
35;824;418;128;24;15;11;21;21
127;1171;545;443;113;58;29;87;85
95;1359;345;259;88;20;17;61;54
30;234;18;97;27;1;12;24;24
30;904;783;144;31;30;8;21;13
24;416;39;114;22;0;8;21;19
24;370;238;107;19;11;10;13;9
24;352;93;211;23;7;3;11;11
35;854;482;191;29;21;10;23;17
48;500;37;204;43;1;3;35;28
100;862;189;562;90;19;5;73;55
12;84;59;47;12;9;1;7;5
15;142;106;35;15;10;6;14;12
20;149;102;73;14;7;3;11;7
30;133;105;118;15;14;0;13;1
25;104;83;65;13;10;3;12;4
24;489;166;186;9;3;2;4;2
30;430;39;144;31;2;6;27;22
30;241;48;146;19;4;3;18;15
30;427;66;108;28;3;2;28;21
13;831;281;28;13;6;3;11;7
15;376;196;64;13;7;4;13;11
96;979;341;690;76;28;5;62;45
24;167;19;93;14;2;4;11;11
10;78;3;34;6;0;1;5;5
36;184;79;96;21;9;2;12;11
35;249;118;129;22;9;3;19;17
35;321;148;162;27;9;2;20;15
16;51;26;29;9;6;4;9;8
72;448;49;331;57;6;7;53;29
48;417;103;96;47;12;6;45;33
36;945;337;414;24;7;1;22;12
24;796;402;159;23;9;2;19;15
35;616;515;146;34;32;9;29;21
24;165;20;91;11;1;3;8;6
24;135;4;97;17;1;2;8;7
30;189;101;87;17;10;1;10;6
19;56;8;44;3;0;0;2;2
48;979;386;477;40;14;9;34;31
15;89;9;39;8;0;1;8;7
24;158;98;85;15;6;3;13;13
16;95;6;49;9;0;3;6;5
19;137;48;61;8;2;3;6;6
36;1213;768;191;29;25;9;24;13
35;662;339;124;29;15;10;29;28
24;298;82;97;13;4;5;12;12
21;203;100;88;15;3;6;13;11
21;310;178;97;21;13;2;14;12
24;166;49;61;14;2;5;9;9
30;1351;1106;178;28;26;5;20;12
35;760;284;393;30;10;6;25;21
24;240;30;110;20;3;4;7;6
60;799;79;195;50;0;11;34;32
70;604;334;270;56;34;10;37;30
26;226;29;99;15;1;3;12;12
16;322;41;78;14;4;4;13;12
30;748;554;103;31;26;5;27;25
30;327;168;127;27;19;5;19;16
40;407;170;159;29;10;5;21;16
28;234;132;81;18;12;1;10;9
34;481;311;158;29;19;2;20;19
24;214;102;105;15;9;2;4;4
29;290;68;88;27;7;8;20;18
92;1119;346;223;95;37;13;66;53
40;887;336;213;24;13;2;21;15
48;423;256;229;31;22;4;29;26
24;401;209;129;21;11;7;13;12
96;1139;339;530;61;29;9;43;29
48;536;179;344;16;1;3;11;11
35;1357;716;167;32;24;12;26;23
36;290;33;191;25;1;1;16;13
32;281;153;50;33;19;2;29;14
24;293;172;119;21;13;8;19;19
26;309;166;112;13;6;2;8;8
54;1194;353;235;55;16;6;38;32
28;1063;782;138;28;19;12;26;23
15;70;4;30;11;1;1;10;9
46;1993;1316;319;44;37;6;42;15
30;830;614;192;28;19;12;20;20
35;3398;1833;222;34;14;13;31;20
36;2868;1520;185;31;22;17;30;28
15;105;60;49;9;7;4;6;3
30;446;51;166;23;0;5;15;12
35;1947;1276;258;26;17;8;15;11
25;1146;932;182;23;22;5;8;6
40;1438;672;429;41;17;12;35;24
12;121;17;63;6;0;2;5;4
15;398;21;85;4;0;1;4;3
48;2619;766;1066;46;12;10;44;20
40;499;53;226;36;3;10;36;24
100;202;112;156;22;13;4;11;7
28;1344;1054;188;29;22;6;20;9
26;184;124;118;17;12;4;12;9
36;480;341;242;37;28;4;35;18
30;217;14;107;30;1;6;30;13
34;232;158;140;21;9;6;15;7
36;315;214;140;25;17;3;11;9
32;598;266;164;25;13;4;19;16
36;845;554;323;31;18;0;27;11
35;777;364;162;32;13;7;29;22
35;433;394;128;24;22;3;13;11
32;702;529;171;28;21;6;18;14
20;31;11;20;3;1;0;1;0
20;124;57;54;9;5;0;3;3
33;202;85;49;30;17;1;8;5
30;994;356;380;30;9;4;26;15
224;8312;4334;845;223;150;60;207;95
5;125;85;21;4;4;1;2;2
5;89;63;18;5;3;3;4;0
5;81;44;26;4;3;0;1;0
5;94;68;20;5;4;1;3;1
5;169;120;18;5;5;3;5;1
24;515;111;67;22;5;9;22;10
24;531;79;105;23;3;3;21;9
26;269;31;134;13;0;5;9;7
28;813;439;197;21;14;8;14;13
24;277;156;139;20;7;8;19;15
78;396;108;179;72;17;8;41;29
84;1514;813;195;84;49;18;69;38
24;413;204;113;20;12;5;16;14
10;410;69;44;4;0;0;4;3
24;179;104;82;20;9;4;15;15
36;1204;542;148;28;16;6;17;14
15;147;52;65;11;3;0;9;6
24;288;169;102;12;6;1;10;7
24;275;136;115;20;11;7;14;10
12;104;11;18;11;1;1;11;10
2;98;5;12;1;0;1;1;0
24;220;123;103;14;9;4;11;9
72;630;39;362;71;1;5;67;50
74;359;90;221;35;8;9;26;14
35;247;146;137;27;14;6;23;23
15;160;12;52;12;0;4;12;10
35;1109;577;159;30;15;15;25;24
35;371;164;163;34;14;3;22;22
11;64;9;20;4;0;2;4;3
68;1263;588;260;55;30;11;46;42
20;91;27;22;9;1;3;9;8
24;441;325;126;24;23;4;14;14
14;158;6;45;15;2;3;12;8
12;151;9;54;8;0;2;7;3
16;85;44;57;15;5;5;11;11
26;144;67;79;10;3;1;8;7
16;156;15;59;14;0;3;13;8
10;90;3;34;8;0;1;6;6
24;255;181;119;13;11;5;9;9
26;703;113;274;26;6;2;25;13
35;525;449;210;20;17;3;17;14
24;280;26;118;22;1;5;22;17
15;150;12;54;11;0;2;11;7
15;113;5;59;12;0;2;10;8
24;186;18;111;22;0;5;22;20
34;383;167;165;22;8;4;19;17
30;314;228;143;18;14;1;13;9
30;186;18;84;24;1;1;19;16
15;211;108;83;14;7;0;9;8
100;818;57;426;85;5;16;75;49
60;838;77;313;60;1;13;56;31
34;724;364;199;35;20;9;29;25
24;193;23;87;13;0;7;13;7
24;442;92;109;24;5;4;17;4
48;1783;672;608;43;10;10;43;18
48;2439;1134;334;44;22;16;37;6
24;260;177;128;17;11;1;5;0
48;3964;1510;274;48;21;4;48;29
192;3191;2286;523;203;143;24;202;57
48;380;235;125;48;35;8;47;6
47;2653;1892;623;47;32;5;44;11
143;2787;2056;854;150;117;7;145;32
144;5631;1645;1299;140;30;29;136;41
45;1550;299;283;43;11;9;43;8
48;1363;1011;430;42;35;1;39;15
96;4688;1390;918;92;28;21;92;22
24;1335;949;211;18;14;9;14;7
24;3704;2014;173;23;13;4;22;6
24;2512;1296;184;22;17;8;18;10
35;768;302;128;30;17;15;28;13
35;2638;1227;177;33;12;14;30;17
30;243;176;131;33;25;13;32;7
48;2428;1660;753;39;27;6;34;18
72;998;573;201;67;25;11;54;14
24;501;201;118;24;12;10;11;3
70;2058;1599;334;68;64;7;28;3
30;519;15;84;29;0;9;19;5
30;380;12;103;26;0;9;25;4
35;3347;1926;356;36;24;12;25;7
35;1570;916;259;37;18;13;22;10
22;1183;485;121;20;11;10;16;14
30;705;97;154;28;2;8;25;4
35;578;161;191;34;8;14;24;4
48;2008;620;625;42;11;11;41;3
144;4838;1803;1173;139;57;15;134;63
48;2005;1421;387;50;31;7;42;9
48;1325;695;616;46;23;6;45;10
70;4465;2388;251;68;40;29;63;20
24;581;371;45;24;15;5;14;2
24;538;44;119;25;1;10;16;6
35;3191;1808;199;34;24;17;26;8
24;584;42;133;27;1;10;17;11
25;930;701;60;23;18;1;22;5
115;1362;906;474;115;85;18;68;8
165;2878;1825;333;163;112;34;114;28
65;695;495;120;58;31;3;43;3
35;1577;851;218;36;24;12;18;6
320;1963;1329;876;317;207;31;158;22
40;547;344;271;36;19;1;11;3
94;3071;840;238;94;16;1;94;53
138;2520;833;372;138;37;3;138;50
39;1202;797;177;33;18;1;33;8
32;330;141;146;21;8;4;17;6
40;297;261;184;19;16;3;15;5
40;442;198;200;30;10;5;25;15
70;1017;424;455;46;18;6;35;15
35;662;251;218;23;4;5;15;4
36;295;138;194;25;7;3;24;11
36;639;262;183;27;11;7;24;10
36;548;210;177;27;9;4;20;11
33;501;201;199;26;7;1;20;10
168;4271;521;558;167;31;54;144;24
28;804;632;44;27;18;6;25;4
24;143;52;75;22;4;2;15;13
18;889;290;157;20;6;6;14;8
30;386;149;164;20;4;5;17;8
35;789;419;221;27;8;8;25;25
35;248;132;149;23;13;10;13;13
15;143;19;53;7;0;3;5;5
15;95;22;37;8;0;2;8;8
35;303;217;157;18;11;5;12;9
48;675;265;302;17;9;2;14;14
35;1128;615;205;34;26;9;21;20
30;404;86;93;29;4;7;17;16
15;194;17;53;17;1;7;12;12
35;874;570;201;34;21;17;30;27
35;1833;1166;131;34;30;7;29;28
30;363;25;113;28;1;11;22;22
27;333;247;98;18;17;3;13;12
78;553;56;385;63;3;8;51;46
15;240;164;75;13;10;3;11;10
52;599;50;338;51;2;7;46;42
50;668;211;221;52;18;6;37;30
56;844;697;224;50;47;11;43;37
20;974;716;85;22;20;6;20;16
20;745;621;78;22;19;1;20;15
35;300;169;153;19;9;2;11;11
10;161;9;34;8;1;5;8;6
35;1430;760;207;34;19;9;25;24
15;244;26;73;12;1;2;11;11
15;155;25;63;14;1;6;12;12
20;99;32;34;11;4;0;8;6
36;173;86;120;29;15;8;25;25
35;284;200;136;33;28;14;27;25
24;441;370;96;22;19;8;15;13
32;220;50;146;25;5;4;17;9
35;316;37;103;24;1;6;18;14
35;462;201;158;35;10;15;29;25
24;227;25;110;22;1;1;21;20
28;271;174;77;27;19;4;17;14
35;992;271;321;36;7;4;35;26
46;494;288;236;18;13;3;15;9
60;1254;220;202;59;8;17;46;36
22;274;141;83;15;8;5;13;9
35;1155;466;160;28;11;12;21;18
13;90;37;35;9;4;0;8;7
13;193;86;35;6;1;1;5;3
13;272;86;44;8;2;0;7;6
24;87;43;42;23;15;4;11;11
24;146;66;70;16;8;2;11;10
35;1401;738;121;30;13;10;27;27
24;695;364;128;23;15;7;19;16
35;1252;578;172;34;18;14;26;25
24;285;133;89;28;9;1;22;22
34;692;332;171;27;12;9;19;13
35;948;439;106;31;12;9;29;28
35;1038;482;133;34;14;7;24;23
35;384;258;130;28;20;6;21;19
24;418;83;105;22;1;4;15;12
24;773;384;126;22;16;10;17;14
33;446;270;128;32;19;10;22;20
84;1206;123;376;86;7;18;78;46
51;536;43;236;47;2;7;36;19
105;2048;1110;302;107;74;19;104;55
70;864;243;163;69;27;14;55;13
15;376;201;139;10;5;1;8;7
35;318;143;122;36;14;15;24;24
35;478;257;184;26;16;8;20;20
24;324;46;103;17;2;3;11;10
58;1273;105;543;55;5;14;43;34
52;723;50;267;50;4;8;46;37
56;1109;567;272;58;31;20;45;40
33;1263;460;248;24;9;3;19;16
24;223;15;100;21;0;3;16;13
30;643;579;136;29;24;12;25;17
48;3626;1072;185;48;12;3;48;33
26;294;26;112;20;1;3;17;15
26;426;7;128;27;0;9;24;20
35;1188;805;135;29;25;6;19;18
60;2146;1564;402;58;41;10;45;27
35;1288;622;105;33;17;15;30;30
40;323;132;153;27;15;3;17;17
18;192;114;78;11;6;4;10;9
18;67;51;36;13;8;2;7;5
29;893;405;143;29;10;6;21;19
60;686;221;336;56;19;2;40;13
12;40;23;26;2;1;0;1;0
24;201;96;91;12;5;0;11;9
96;1279;877;597;95;63;15;91;50
18;401;241;92;14;8;3;7;7
35;297;112;120;33;13;5;31;30
35;299;219;126;24;14;2;10;9
156;2114;189;647;148;9;43;135;105
181;2004;915;553;201;98;37;177;142
16;186;84;31;7;3;3;6;3
15;150;7;56;12;0;5;12;11
53;276;145;127;37;21;2;20;18
42;258;156;105;30;17;5;22;9
23;382;40;109;19;0;6;13;12
24;197;128;71;19;13;3;18;18
15;50;1;25;15;1;5;14;14
35;1431;848;153;35;22;6;22;17
30;293;32;93;21;1;2;13;12
24;141;15;84;24;2;6;17;16
35;558;277;131;36;19;18;33;32
48;922;371;495;46;17;3;39;35
36;538;177;134;33;10;6;24;16
24;1300;345;204;26;8;2;26;22
24;249;147;88;16;5;3;9;6
74;1304;819;633;74;47;10;62;43
15;226;91;57;5;3;1;4;4
17;295;142;65;19;9;10;17;16
27;261;161;131;21;15;10;18;17
59;845;426;200;56;21;24;51;44
164;3109;1687;1098;162;75;45;148;72
4;106;10;22;4;0;0;4;4
32;634;100;118;35;5;4;22;20
35;1039;530;198;27;15;6;19;18
81;1873;626;373;80;25;17;49;28
36;278;30;154;24;1;7;23;14
13;189;27;72;11;4;3;5;4
21;192;31;80;11;1;1;8;8
18;222;30;65;17;0;6;15;12
25;394;241;77;25;17;12;25;20
36;502;370;105;36;32;22;28;27
32;707;104;143;30;1;6;17;15
38;810;254;118;16;6;7;12;10
28;569;351;130;16;12;7;12;11
17;240;21;70;15;2;4;13;13
17;122;11;62;12;0;3;7;7
40;342;146;149;33;11;8;28;24
44;338;111;207;13;6;0;8;3
110;1820;1243;696;105;73;25;90;52
16;153;10;42;14;0;2;11;11
35;369;157;126;19;6;4;18;18
18;328;143;93;17;8;1;12;9
18;187;142;75;22;18;2;11;10
34;407;46;114;36;2;6;27;23
18;116;56;45;5;3;1;5;5
13;113;16;63;6;0;1;6;5
8;581;98;12;8;3;3;8;7
8;203;39;17;8;2;2;7;4
15;144;17;46;9;2;3;8;8
29;630;530;77;29;27;3;17;8
10;99;8;49;8;0;1;7;5
35;703;424;205;28;14;3;21;10
48;1283;352;346;48;12;7;48;45
96;1532;1040;690;71;44;16;68;30
75;637;57;440;54;4;6;31;18
12;129;33;57;6;1;0;3;3
30;581;243;192;33;10;7;26;22
32;802;359;214;32;12;11;29;25
35;396;250;115;38;25;13;20;20
35;986;806;184;34;31;8;23;10
24;404;265;107;24;20;5;13;10
30;407;78;143;30;4;2;30;24
26;842;156;133;25;2;9;19;14
24;299;37;87;24;1;9;20;18
72;1216;101;463;80;7;17;73;35
48;622;392;264;49;37;6;38;20
32;452;246;137;26;11;2;23;10
12;227;137;38;10;8;3;9;8
35;353;207;121;31;16;14;28;25
24;308;139;87;19;8;10;16;15
24;1251;261;104;21;1;5;18;16
15;234;34;46;8;0;4;8;7
24;559;265;122;17;7;6;13;11
15;90;4;20;15;1;7;15;14
19;557;200;87;9;2;1;8;6
30;76;25;18;3;0;0;3;3
38;713;331;196;38;16;10;31;28
15;237;63;64;12;3;2;5;5
27;531;293;93;25;16;3;21;17
18;90;46;45;20;11;6;20;20
18;186;15;65;13;0;4;11;7
40;291;164;167;35;17;12;28;28
24;80;24;36;12;2;1;3;3
70;979;158;485;64;9;8;58;28
30;280;34;134;30;3;10;29;24
28;842;85;153;26;1;3;16;13
34;550;268;123;34;16;15;31;29
28;263;11;103;24;0;6;21;20
48;1578;526;551;48;15;3;47;39
44;685;182;208;44;9;7;43;40
32;256;138;173;30;18;7;30;23
30;868;102;132;32;2;5;19;16
30;920;648;142;35;29;12;21;17
34;649;450;177;36;27;12;27;23
35;786;473;181;34;19;13;26;19
35;396;172;126;23;10;4;15;12
30;361;84;131;28;5;7;24;19
39;2276;1190;252;33;22;11;33;26
30;386;73;96;25;5;5;21;17
120;591;325;253;117;76;23;81;51
30;1004;137;114;31;2;7;25;22
96;345;210;275;54;36;4;35;19
26;287;3;89;18;0;5;14;14
20;229;6;98;15;0;3;14;7
12;373;61;31;12;3;2;11;4
28;374;20;125;25;0;10;19;10
36;1900;905;156;36;22;20;33;31
90;2623;784;424;89;24;4;89;68
30;994;81;140;29;1;9;25;23
47;2496;694;539;45;11;3;45;30
96;2069;1424;732;89;60;4;86;39
48;1325;928;293;48;36;5;48;22
35;937;362;131;28;13;11;23;20
48;2391;666;399;46;9;4;46;26
38;597;291;176;39;19;16;39;11
48;666;438;305;51;39;0;48;28
38;840;560;310;42;23;3;41;12
16;200;19;88;14;1;0;11;6
85;1782;145;427;85;9;7;61;44
115;1561;1236;425;121;107;18;107;33
80;537;333;133;46;31;3;28;11
33;1270;717;138;29;23;12;23;15
24;206;49;74;17;4;3;5;5
20;257;181;89;22;18;3;21;5
37;880;384;256;28;13;2;17;13
30;429;56;88;19;1;3;12;10
36;1438;701;199;31;21;15;26;16
47;3271;1522;264;51;30;13;45;37
15;282;62;126;14;3;6;9;9
28;1011;717;139;27;24;11;18;16
35;1678;779;173;36;21;12;23;23
32;893;375;215;31;14;15;24;24
22;711;518;166;23;18;10;13;9
35;782;522;344;27;19;2;21;16
52;986;101;310;49;2;12;39;17
186;7521;4125;1052;183;127;73;164;64
25;224;113;101;16;9;1;6;4
36;788;119;152;32;2;11;21;14
13;227;19;80;13;0;6;10;8
35;1629;716;203;35;9;16;19;14
35;661;463;341;30;23;10;29;20
12;217;116;56;9;2;1;5;2
88;3952;451;747;87;11;26;67;33
48;784;230;199;44;15;23;35;19
28;867;811;77;30;28;11;19;10
45;934;174;221;44;8;2;43;7
24;423;28;127;22;1;12;21;16
35;1010;716;116;31;22;18;27;25
32;2112;1012;159;29;17;9;22;20
96;2392;635;358;96;21;7;96;80
144;2085;1438;885;127;103;7;119;67
35;998;416;207;32;10;12;25;25
34;2105;966;196;30;17;13;23;18
24;1313;699;166;21;14;6;10;8
15;475;17;89;10;1;3;9;7
24;573;553;145;22;22;7;16;10
35;1436;584;200;31;6;13;28;18
42;1481;660;375;40;15;11;26;14
28;300;43;121;18;0;7;14;11
18;204;28;91;19;2;3;15;10
34;414;165;151;27;9;2;13;6
34;394;300;140;13;7;2;7;5
16;124;17;59;12;1;0;5;3
33;250;169;81;6;4;3;6;4
33;365;153;74;12;6;2;9;5
26;1194;906;190;26;17;6;21;12
12;704;90;76;12;3;1;9;5
24;844;626;121;23;20;5;15;13
33;679;275;124;32;17;7;16;12
32;483;232;104;23;14;5;18;12
34;327;127;121;24;5;1;18;17
20;485;21;76;20;0;8;16;9
78;1351;828;552;81;57;23;55;27
29;336;28;146;24;0;7;17;13
28;464;35;117;22;0;7;14;12
40;459;161;242;30;12;2;26;21
24;312;25;83;21;0;8;20;13
30;385;112;112;29;3;7;27;24
34;862;625;158;34;29;10;25;20
35;953;615;176;34;27;12;31;31
35;1081;606;152;34;23;10;16;9
35;1484;722;198;36;17;14;24;21
24;445;37;69;23;0;4;16;12
24;185;15;79;16;0;3;8;7
28;177;7;84;29;1;11;25;24
35;1398;933;145;36;32;10;27;26
53;1059;468;213;52;27;17;48;45
105;1996;389;639;108;22;29;96;66
96;1381;124;479;73;7;16;59;50
30;328;25;115;26;1;7;20;17
25;879;398;96;23;10;0;14;5
65;772;481;222;65;44;12;47;24
35;917;494;170;37;20;12;28;19
56;530;131;204;63;21;13;37;22
15;128;30;41;15;1;2;12;12
24;132;21;49;22;1;5;18;18
48;586;263;229;39;17;14;33;28
30;104;62;64;17;8;5;15;13
24;154;88;96;13;6;3;9;9
16;173;123;103;8;6;2;7;6
50;508;157;150;37;10;2;17;14
12;96;6;35;5;0;0;4;4
28;302;154;92;13;8;4;7;7
45;369;111;133;38;7;11;36;36
45;269;103;141;28;12;6;27;27
30;606;317;105;28;17;17;28;26
45;174;75;120;24;13;5;24;24
12;405;309;43;10;9;7;9;8
26;470;245;83;25;14;10;20;18
24;388;312;84;19;17;10;14;12
24;69;17;45;21;4;10;21;21
28;136;10;46;22;3;12;19;19
28;169;121;84;26;20;13;20;19
16;122;55;28;14;5;4;10;10
80;155;62;115;25;9;3;21;20
30;112;50;58;9;5;0;5;4
24;112;6;35;15;0;8;15;14
30;101;52;46;16;6;5;15;14
24;388;278;48;20;19;16;20;20
