capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
34;458;381;145;30;29;5;19;19
12;134;9;64;7;2;0;3;3
48;351;251;241;36;29;5;34;31
30;190;25;100;10;0;2;7;7
24;85;19;58;13;5;0;4;4
35;245;176;134;17;13;3;12;10
45;402;171;160;44;21;6;39;38
35;192;86;105;22;12;2;17;15
15;80;4;42;10;0;1;10;10
24;186;48;86;9;4;2;9;8
29;345;261;47;29;25;4;27;22
35;474;225;157;20;5;3;13;11
24;91;41;52;19;12;1;14;9
32;163;48;83;20;3;4;17;17
16;139;15;47;16;1;5;14;10
30;431;89;152;19;6;3;8;3
13;303;87;59;13;4;0;7;3
14;221;48;77;16;1;4;10;5
35;652;301;174;22;12;14;22;18
16;105;63;44;13;9;0;6;5
48;341;198;198;32;23;5;30;24
48;323;98;195;10;4;1;4;2
70;734;348;233;57;20;12;47;41
45;803;225;275;44;7;3;44;41
35;181;103;125;15;6;3;15;13
25;456;254;128;16;8;5;10;10
24;554;439;92;23;21;3;12;10
24;285;19;118;24;0;3;15;13
15;190;30;57;13;2;1;8;8
24;283;22;111;20;2;1;17;13
32;669;380;166;25;18;11;18;17
140;1743;881;754;137;71;24;117;105
56;1054;749;176;63;53;10;49;27
16;114;23;55;4;1;0;3;2
30;90;63;80;27;17;1;14;12
18;996;616;62;20;11;4;15;14
72;1163;348;339;70;18;12;46;29
18;182;69;82;18;6;7;11;10
30;91;45;84;13;6;2;7;5
26;355;235;50;25;22;0;7;2
16;188;84;38;9;2;1;6;5
27;449;174;82;13;4;2;6;4
24;34;4;33;4;0;0;4;4
35;303;175;143;30;20;11;20;15
35;382;195;161;31;11;9;25;24
15;145;16;56;12;1;3;11;11
35;477;237;155;34;13;13;28;26
18;410;151;78;9;6;1;3;3
27;422;154;102;14;3;2;11;11
56;266;131;152;31;14;5;22;18
56;526;315;298;39;23;6;25;18
32;410;195;137;30;17;9;23;21
24;315;168;89;24;15;10;20;13
16;872;356;77;13;5;4;12;9
15;137;10;56;8;0;2;7;7
48;1189;408;485;31;10;0;26;7
24;304;134;91;23;11;9;17;16
32;540;248;121;26;10;7;26;26
95;1425;422;490;79;21;4;79;76
35;861;487;199;32;21;11;20;18
35;613;289;174;32;13;3;14;13
30;178;54;88;16;4;4;14;14
15;87;11;57;11;2;0;7;7
28;874;563;115;21;20;1;12;12
35;365;250;197;28;13;5;15;11
30;674;129;144;24;2;5;16;16
32;200;23;115;16;1;3;8;7
15;67;7;43;4;0;0;3;3
35;402;226;164;28;14;7;25;24
47;646;464;131;52;39;3;41;41
42;965;469;300;39;13;5;33;20
135;1950;959;480;130;65;13;125;124
66;612;354;423;47;21;1;31;18
16;105;38;42;7;2;0;1;1
30;29;14;20;8;1;1;8;8
33;606;313;155;13;6;3;10;9
24;1027;188;120;25;2;1;24;20
15;372;77;78;15;3;6;12;11
15;268;15;69;11;0;4;9;9
30;432;33;129;25;0;11;20;15
35;912;534;219;32;18;12;20;13
35;735;349;175;27;9;14;17;17
40;854;409;252;41;22;19;38;31
30;396;279;175;23;16;2;13;7
35;324;198;127;29;15;15;24;22
35;255;122;114;29;12;11;25;23
34;402;126;139;17;7;4;13;11
15;266;49;58;12;0;3;10;9
20;59;27;22;7;5;0;1;1
35;1468;864;204;28;14;13;26;24
34;371;213;165;34;23;6;34;12
48;2768;794;339;48;12;5;47;45
33;1254;775;192;30;18;16;25;22
24;1175;668;102;24;15;12;21;17
144;1559;1108;736;143;116;24;139;95
48;1227;804;346;47;40;5;47;31
24;562;326;106;21;13;4;17;9
70;3072;1605;238;73;45;35;68;48
100;2996;1838;168;100;67;22;68;29
150;7655;3735;768;161;96;43;136;86
24;202;77;116;23;10;0;10;7
96;822;266;550;95;34;8;84;66
48;334;245;189;46;36;8;30;21
35;193;126;115;25;17;8;22;14
35;223;135;132;20;11;2;8;4
24;324;186;110;21;12;7;16;14
35;486;189;121;33;12;10;28;18
35;721;260;133;30;8;6;28;23
90;1000;367;426;90;30;8;78;43
40;81;24;53;38;8;5;24;16
34;3067;1563;245;32;14;13;22;21
48;768;672;199;47;43;12;34;20
12;1488;596;29;13;6;2;10;8
12;1209;210;39;12;2;2;10;6
12;864;413;22;11;8;2;11;8
23;1457;812;110;21;12;3;17;12
12;13;0;12;8;0;5;8;7
19;157;77;57;6;3;2;3;3
24;686;127;126;16;3;4;12;9
45;318;118;193;39;16;6;29;19
44;2133;571;428;48;7;4;47;34
96;1481;523;557;94;24;7;94;88
96;937;171;456;96;13;4;95;80
30;399;31;145;23;2;10;20;19
60;625;44;216;55;1;18;50;47
35;1587;773;184;33;21;10;30;28
64;1478;223;201;52;4;15;51;48
35;765;512;169;26;17;3;18;13
35;536;358;173;30;25;10;23;20
30;250;20;82;17;2;3;11;9
30;261;12;96;24;1;6;22;17
15;351;208;85;17;8;0;14;12
10;288;158;39;10;5;1;10;5
50;1077;289;116;49;17;11;34;12
60;763;640;149;59;49;7;34;20
106;1804;448;809;106;25;13;92;80
35;487;209;183;29;11;2;22;22
80;2399;1385;437;81;43;14;49;24
145;1423;1157;519;146;115;25;84;47
70;400;185;244;65;25;4;40;33
32;261;76;142;21;7;0;17;11
24;329;159;129;23;11;8;21;17
105;736;373;371;85;49;11;67;49
32;106;43;80;21;10;1;13;10
32;107;54;74;28;15;1;8;4
32;101;46;65;20;7;0;3;2
32;1030;545;170;29;18;4;19;16
35;517;156;134;32;8;8;23;18
35;893;458;181;35;26;12;23;20
14;296;216;67;14;13;0;11;9
10;219;91;21;10;6;0;10;7
37;1151;675;212;29;15;12;18;13
45;484;254;183;39;19;11;37;27
36;1118;793;226;30;24;13;23;21
24;803;75;117;18;1;7;11;8
24;134;9;90;14;1;4;11;9
104;2042;1214;793;97;72;21;69;37
28;1043;695;191;28;17;9;25;19
17;152;102;52;13;10;1;11;11
30;157;35;103;13;2;2;13;12
52;2233;1241;266;49;37;23;42;32
33;589;381;173;29;18;13;21;19
30;408;56;141;32;2;12;22;21
35;1571;937;251;30;19;17;28;23
35;1032;470;195;31;16;12;26;23
35;1153;487;260;28;9;3;23;21
24;260;25;108;18;0;2;17;17
85;1204;814;387;87;71;5;82;27
35;261;119;161;14;10;3;11;9
30;159;16;71;6;0;1;4;4
30;130;15;67;7;2;1;3;2
15;157;3;70;13;1;1;10;8
15;167;8;41;11;0;1;11;10
35;397;308;83;39;33;5;26;24
35;265;214;71;39;33;6;27;22
19;201;147;67;12;11;2;9;5
20;588;431;31;20;15;4;20;13
32;93;53;52;8;6;1;7;6
44;194;69;80;44;13;8;41;41
20;436;156;64;16;4;4;15;13
17;170;60;71;9;2;1;6;6
16;242;18;38;13;0;6;10;9
36;618;438;165;33;26;10;24;18
15;363;73;62;11;2;3;10;9
22;215;127;80;7;2;0;6;6
38;236;98;102;19;5;5;13;13
32;480;269;147;15;10;3;15;11
32;381;126;116;21;9;1;15;5
48;315;306;188;35;32;4;21;18
24;179;4;102;14;0;7;11;11
34;394;193;205;23;11;6;14;11
144;3623;997;757;139;28;13;138;101
30;989;605;180;32;28;11;22;22
28;813;706;50;28;24;3;14;8
56;1020;758;239;54;46;14;40;38
120;2328;1316;257;120;60;30;112;39
95;1879;429;994;93;16;6;74;68
78;1072;87;440;77;9;15;69;53
22;199;29;48;19;4;10;19;6
24;208;68;88;15;4;3;8;6
38;614;305;194;33;19;5;17;12
15;127;5;58;8;1;2;6;6
145;1788;1378;533;141;115;25;118;91
28;477;449;69;28;27;5;18;11
15;136;93;72;6;3;0;3;3
30;175;154;107;15;15;2;9;7
30;580;93;167;24;4;4;15;12
10;898;256;37;11;6;1;9;5
10;263;66;26;10;2;2;8;3
34;631;74;176;29;2;8;18;18
144;1458;389;739;146;30;10;136;101
52;956;458;217;50;30;15;37;36
84;1153;540;602;81;40;25;73;58
34;908;510;94;31;23;6;27;18
30;234;76;88;33;10;1;10;6
18;122;11;67;16;0;4;13;13
32;202;97;68;14;5;1;11;6
16;221;97;55;11;4;4;8;5
40;113;13;78;20;2;4;18;14
15;348;68;63;10;1;5;7;3
30;283;38;81;15;1;6;14;12
35;395;168;144;28;13;11;27;26
13;274;102;49;15;3;4;10;8
52;465;30;256;36;2;3;34;25
24;312;210;100;23;16;8;22;21
60;254;138;140;47;24;7;36;31
